"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.296611023E0	3.228290007E-3	7.895678282E-3	1.219272614E-2	1.488039524E-2
1.301634669E0	-1.577389427E-3	-1.684397459E-3	-2.161979675E-3	3.162199918E-3
1.306658314E0	-1.539321616E-3	3.015816212E-3	2.608299255E-3	4.274094462E-3
1.311681960E0	-6.306704134E-3	-1.602557302E-2	1.208877563E-2	2.104119778E-2
1.316705606E0	-1.092902292E-2	-6.402134895E-3	7.236480713E-3	1.458758123E-2
1.321729252E0	-1.365059987E-3	-6.413608789E-3	-1.182651520E-2	1.352273006E-2
1.326752898E0	3.422271460E-3	-6.425023079E-3	7.278442383E-3	1.029410448E-2
1.331776596E0	-6.136056967E-3	-1.685321331E-3	1.672172546E-2	1.789155123E-2
1.336800294E0	-1.561473403E-2	3.067553043E-3	-2.421379089E-3	1.609636224E-2
1.341823991E0	-6.011725403E-3	-6.524890661E-3	-2.399444580E-3	9.190885418E-3
1.346847689E0	-1.238340512E-3	-1.784354448E-3	-2.377510071E-3	3.220242562E-3
1.351871387E0	3.495265730E-3	-1.128372550E-2	-7.108688354E-3	1.378668901E-2
1.356895085E0	-1.312638633E-3	-6.450891495E-3	-1.655101776E-2	1.781216467E-2
1.361918783E0	3.472823650E-3	3.092795610E-3	2.590179443E-3	5.323055357E-3
1.366942481E0	-6.033258513E-3	3.054827452E-3	2.568244934E-3	7.233813730E-3
1.371966179E0	-1.259693876E-3	-1.786530018E-3	-6.953239441E-3	7.288762370E-3
1.376989877E0	-1.276941039E-3	2.967178822E-3	2.606391907E-3	4.150663483E-3
1.382013575E0	8.259254508E-3	-1.873403788E-3	1.208877563E-2	1.476019726E-2
1.387037273E0	-6.143083796E-3	-6.621032953E-3	-2.264976501E-3	9.311588181E-3
1.392060971E0	1.293716207E-2	-6.578058004E-3	-2.245903015E-3	1.468622109E-2
1.397084669E0	-1.451490447E-3	-1.784414053E-3	2.523422241E-3	3.414471824E-3
1.402108366E0	8.087593131E-3	-1.834422350E-3	-6.997108459E-3	1.085052049E-2
1.407132064E0	-1.456945203E-3	2.919703722E-3	-6.938934326E-3	7.667865983E-3
1.412155762E0	3.278483637E-3	7.581532001E-3	2.622604370E-3	8.666379644E-3
1.417179460E0	-1.102967840E-2	-1.144531369E-2	2.599716187E-3	1.610613347E-2
1.422203158E0	-1.096550934E-2	2.838283777E-3	2.579689026E-3	1.161692926E-2
1.427226856E0	-6.098174490E-3	-6.804972887E-3	-2.189636230E-3	9.396270267E-3
1.432250554E0	8.229229599E-3	-2.009361982E-3	1.208209991E-2	1.475584270E-2
1.437274252E0	3.381876275E-3	-6.755858660E-3	-1.652431488E-2	1.816952657E-2
1.442297950E0	-1.087448001E-2	-1.960724592E-3	-1.638698578E-2	1.976441396E-2
1.447321648E0	-6.007904187E-3	-2.009242773E-3	-1.995086670E-3	6.641712133E-3
1.452345346E0	8.267516270E-3	-6.808400154E-3	1.227664948E-2	1.629178505E-2
1.457369044E0	-6.082220934E-3	-2.012819052E-3	-2.079010010E-3	6.735512946E-3
1.462392741E0	1.294485107E-2	2.637445927E-3	1.694488525E-2	2.148614499E-2
1.467416439E0	8.056764491E-3	2.603322268E-3	7.302284241E-3	1.118088082E-2
1.472440137E0	-1.540184021E-3	-2.234280109E-3	-7.009506226E-3	7.516472042E-3
1.477463835E0	-6.307560951E-3	-7.084161043E-3	-2.197265625E-3	9.736459267E-3
1.482487533E0	-6.284178235E-3	-2.286225557E-3	1.682472229E-2	1.810494417E-2
1.487511231E0	3.241075203E-3	-2.279311419E-3	7.183074951E-3	8.203437985E-3
1.492534929E0	3.186321817E-3	-1.177456975E-2	-2.378463745E-3	1.242780066E-2
1.497558627E0	3.237362020E-3	7.315456867E-3	7.143020630E-3	1.072469886E-2
